ID,attempt,R,L,S,W,T,,,,,
1,1,28,17,24,23,92,,,,,
1,2,29,26,24,26,105,,,,,
1,3,30,28,24,26,108,,,,,
2,1,26,25,23,25,99,,,,,
2,2,25,29,24,25,103,,,,,
2,3,23,28,24,28,103,,,,,
2,4,27,27,24,24,102,,,,,
3,1,23,14,17,21,75,,,,,
3,2,22,17,19,23,81,,,,,
3,3,22,21,23,23,89,,,,,
3,4,25,19,22,25,91,,,,,
3,5,26,19,22,26,93,,,,,
3,6,22,25,23,26,96,,,,,
3,7,27,25,23,23,98,,,,,
4,1,23,20,19,24,86,,,,,
4,2,24,22,19,22,87,,,,,
4,3,28,24,22,28,102,,,,,
4,1,11,20,22,20,73,,,,,
5,1,16,24,20,21,81,,,,,
5,2,21,23,20,21,85,,,,,
5,3,26,25,22,21,94,,,,,
5,4,20,26,24,22,92,,,,,
5,5,23,26,23,22,94,,,,,
5,6,22,26,23,22,93,,,,,
5,7,23,28,24,21,96,,,,,
5,8,23,27,23,26,99,,,,,
5,9,24,27,23,22,96,,,,,
5,10,26,29,21,26,102,,,,,
6,1,21,17,22,22,82,,,,,
6,2,25,26,23,21,95,,,,,
6,3,27,25,22,24,98,,,,,
7,1,10,11,15,17,53,,,,,
7,2,13,9,13,18,53,,,,,
7,3,23,11,15,22,71,,,,,
7,4,18,19,15,21,73,,,,,
7,5,22,10,19,21,72,,,,,
7,6,19,16,19,20,74,,,,,
7,7,21,15,17,21,74,,,,,
8,1,21,18,17,19,75,,,,,
8,2,19,22,17,22,80,,,,,
8,3,22,23,18,22,85,,,,,
8,4,24,25,23,25,97,,,,,
8,5,24,24,23,25,96,,,,,
9,1,29,28,22,23,102,,,,,
9,2,30,29,24,28,111,,,,,
10,1,17,21,23,26,87,,,,,
10,2,20,23,24,27,94,,,,,
10,3,26,25,27,28,106,,,,,
11,1,19,21,22,23,85,,,,,
11,2,22,26,20,22,90,,,,,
11,3,28,26,20,25,99,,,,,
11,4,27,26,24,26,103,,,,,
12,1,28,26,20,25,99,,,,,
12,2,27,27,24,28,106,,,,,
12,3,29,30,22,28,109,,,,,
13,1,23,17,18,25,83,,,,,
13,2,24,18,24,25,91,,,,,
13,3,27,24,25,26,102,,,,,
14,1,17,20,14,20,71,,,,,
14,2,23,21,20,22,86,,,,,
14,3,25,19,19,22,85,,,,,
15,1,17,18,20,21,76,,,,,
15,2,24,24,22,24,94,,,,,
15,3,27,21,22,22,92,,,,,
16,1,27,14,19,22,82,,,,,
16,2,25,21,19,23,88,,,,,
16,3,27,24,23,22,96,,,,,
16,4,28,21,24,24,97,,,,,
16,5,25,25,20,25,95,,,,,
16,6,28,26,24,21,99,,,,,
17,1,20,20,16,24,80,,,,,
17,2,25,24,18,18,85,,,,,
17,3,24,23,20,22,89,,,,,
17,4,27,24,20,24,95,,,,,
17,1,9,8,14,17,48,,,,,
18,1,15,14,22,20,71,,,,,
18,2,22,18,23,24,87,,,,,
18,3,20,24,24,24,92,,,,,
19,1,22,22,18,21,83,,,,,
19,2,20,26,20,22,88,,,,,
19,3,25,26,19,27,97,,,,,
19,4,22,26,22,24,94,,,,,
19,5,28,27,22,26,103,,,,,
20,1,20,12,22,20,74,,,,,
20,2,24,21,23,23,91,,,,,
20,3,23,24,20,23,90,,,,,
23,1,13,16,20,21,70,,,,,
23,2,16,16,23,25,80,,,,,
23,3,18,21,23,22,84,,,,,
24,1,16,11,14,16,57,,,,,
25,1,15,9,19,24,67,,,,,
25,2,19,19,20,18,76,,,,,
27,1,20,18,18,20,76,,,,,
27,2,22,17,22,20,81,,,,,
28,1,19,7,18,19,63,,,,,
29,1,10,13,17,20,60,,,,,
30,1,15,10,18,18,61,,,,,
31,2,12,12,17,12,53,,,,,
32,1,24,19,19,22,84,,,,,
32,2,26,24,20,24,94,,,,,
33,1,19,16,19,24,78,,,,,
34,1,18,17,22,20,77,,,,,
34,2,19,17,20,20,76,,,,,
34,3,22,18,22,20,82,,,,,
35,1,14,18,18,18,68,,,,,
35,2,20,15,18,18,71,,,,,
35,3,20,18,18,19,75,,,,,
36,1,19,14,15,18,66,,,,,
36,2,20,18,15,21,74,,,,,
37,1,14,14,18,20,66,,,,,
38,1,5,19,20,18,62,,,,,
38,2,17,23,19,20,79,,,,,
39,1,12,14,18,15,59,,,,,
39,2,17,7,19,18,61,,,,,
40,1,7,12,20,17,56,,,,,
40,2,19,17,20,18,74,,,,,
41,1,18,16,22,22,78,,,,,
41,2,11,11,18,16,56,,,,,
42,1,21,20,19,19,79,,,,,
42,2,14,7,17,18,56,,,,,
42,3,17,21,22,21,81,,,,,
43,1,8,12,15,20,55,,,,,
43,2,19,10,15,18,62,,,,,
43,3,21,18,22,22,83,,,,,
43,4,20,21,19,22,82,,,,,
43,5,22,25,21,22,90,,,,,
44,2,10,7,14,17,48,,,,,
45,1,12,9,14,16,51,,,,,
45,2,13,20,15,14,62,,,,,
46,1,25,20,22,27,94,,,,,
46,2,27,19,22,26,94,,,,,
47,1,9,8,18,16,50,,,,,
48,1,6,8,16,11,41,,,,,
49,1,2,6,15,14,37,,,,,
