no,attempt,R,L,S,W,T
4 ,1 ,14 ,12 ,15 ,18 ,59 
4 ,2 ,18 ,10 ,18 ,19 ,65 
4 ,3 ,23 ,21 ,15 ,22 ,81 
4 ,4 ,25 ,20 ,18 ,23 ,86 
1 ,1,24 ,20 ,15 ,27 ,86 
1 ,2,24 ,26 ,17 ,27 ,94 
1 ,3,30 ,29 ,19 ,29 ,107 
9 ,1 ,11 ,12 ,17 ,14 ,54 
9 ,2 ,13 ,5 ,15 ,20 ,53 
9 ,3 ,13 ,18 ,16 ,18 ,65 
6 ,1 ,14 ,7 ,20 ,17 ,58 
6 ,2 ,16 ,16 ,20 ,18 ,70 
6 ,3 ,16 ,19 ,20 ,20 ,75 
6 ,4 ,17 ,22 ,19 ,20 ,77 
6 ,5 ,19 ,17 ,22 ,21 ,79 
6 ,6 ,23 ,26 ,19 ,22 ,90 
19 ,1 ,15 ,4 ,15 ,18 ,52 
20 ,1 ,18 ,16 ,17 ,18 ,69 
20 ,2 ,22 ,20 ,20 ,17 ,79 
20 ,3 ,21 ,21 ,20 ,20 ,82 
20 ,4 ,26 ,23 ,19 ,22 ,90 
20 ,5 ,28 ,27 ,19 ,19 ,93 
2 ,1 ,28 ,26 ,22 ,25 ,101 
2 ,2 ,26 ,26 ,23 ,26 ,101 
2 ,3 ,29 ,29 ,24 ,27 ,109 
8 ,1 ,22 ,18 ,16 ,22 ,78 
5 ,1 ,20 ,10 ,17 ,17 ,64 
5 ,2 ,21 ,18 ,15 ,21 ,75 
5 ,3 ,18 ,21 ,18 ,22 ,79 
5 ,4 ,20 ,19 ,19 ,23 ,77 
5 ,5 ,22 ,18 ,16 ,22 ,78 
10 ,1 ,17 ,8 ,18 ,17 ,60 
10 ,2 ,21 ,19 ,17 ,20 ,77 
10 ,3 ,24 ,15 ,17 ,20 ,76 
10 ,4 ,15 ,20 ,22 ,24 ,81 
10 ,5 ,21 ,19 ,19 ,21 ,80 
10 ,6 ,23 ,28 ,20 ,23 ,94 
7 ,1 ,16 ,16 ,22 ,18 ,72 
7 ,2 ,21 ,21 ,22 ,25 ,89 
7 ,3 ,19 ,19 ,19 ,21 ,78 
7 ,4 ,23 ,21 ,27 ,23 ,94 
7 ,5 ,25 ,24 ,23 ,21 ,93 
13 ,1 ,16 ,13 ,18 ,15 ,62 
13 ,2 ,15 ,15 ,20 ,20 ,70 
13 ,3 ,16 ,17 ,20 ,22 ,75 
13 ,4 ,17 ,17 ,20 ,20 ,74 
13 ,5 ,18 ,18 ,19 ,20 ,75 
13 ,6 ,24 ,20 ,22 ,20 ,86 
12 ,1 ,18 ,12 ,18 ,19 ,67 
12 ,2 ,23 ,20 ,20 ,23 ,86 
12 ,3 ,21 ,13 ,20 ,22 ,76 
22 ,1 ,21 ,18 ,17 ,20 ,76 
22 ,2 ,23 ,19 ,22 ,18 ,82 
22 ,3 ,16 ,20 ,22 ,20 ,78 
22 ,4 ,23 ,22 ,23 ,20 ,88 
17 ,1 ,5 ,10 ,18 ,17 ,50 
17 ,2 ,8 ,13 ,19 ,16 ,56 
17 ,3 ,15 ,15 ,19 ,19 ,68 
17 ,4 ,14 ,17 ,20 ,19 ,70 
17 ,5 ,17 ,16 ,20 ,20 ,73 
15 ,1 ,9 ,12 ,15 ,15 ,51 
15 ,2 ,20 ,8 ,17 ,17 ,62 
15 ,3 ,18 ,15 ,14 ,18 ,65 
15 ,4 ,20 ,21 ,18 ,17 ,76 
15 ,5 ,20 ,13 ,18 ,17 ,68 
24 ,1 ,8 ,9 ,8 ,14 ,31 
24 ,3 ,15 ,15 ,16 ,18 ,64 
25 ,1 ,12 ,15 ,19 ,17 ,63 
26 ,1 ,17 ,12 ,17 ,13 ,59 
16 ,1 ,6 ,16 ,15 ,14 ,51 
16 ,2 ,12 ,5 ,15 ,18 ,50 
11 ,1 ,13 ,14 ,15 ,14 ,56 
11 ,2 ,6 ,14 ,17 ,14 ,51 
11 ,3 ,13 ,16 ,20 ,18 ,67 
18 ,1 ,15 ,9 ,15 ,15 ,54 
18 ,2 ,16 ,7 ,11 ,14 ,48 
14 ,1 ,9 ,9 ,17 ,18 ,53 
14 ,2 ,10 ,11 ,17 ,16 ,54 
